mission,yearmon,month,year,unsc_resolution,peaceag_cease_monitor,buffer_monitor,liaise_warpart,goodoffices,peaceag_cease_assist,humrts_monitor,refugees_monitor,humrts_protect,children_protect,women_protect,prociv,unpersonnel_protect,demining_assist,refugees_assist,humaid_assist,humpersonnel_protect,borders_monitor,weaponstrade_monitor,weaponsembargo_monitor,cargoinspections,resources_monitor,ch7,election_monitor,election_security,election_assist,govcap_assist,cultural_pres,qip_assist,justice_assist,securitysectorreform_assist,policereform_assist,police_monitor,police_jointpatrols,reconciliation,justice_warcrim,ddr_monitor,ddr_assist,mission_pr,freepress,au_coop,eu_coop,undp_coop,ecowas_coop,jmc_coop,othermission_coop,oas_coop,osce_coop,cis_coop,coop_other,ccode,ccode2,ccode3,ccode4,ccode5,region,subtasks,totaltasks,numtasks,pkratio,vlimratio,pbratio,factor1,factor2,factor3,missionen,govpolicies_assist
BINUB,597,10,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,609,10,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,604,5,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,574,11,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,576,1,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,608,9,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,585,10,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,591,4,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,610,11,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,582,7,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,602,3,2010,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,569,6,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,612,1,2011,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,595,8,2009,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,580,5,2008,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
BINUB,571,8,2007,1719,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,516,,,,,Africa,5,14,9,.15384616,.30769232,.53846157,.78685325,-.44009107,-.60516316,BINUB,1
DOMREP,73,2,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
